seed,bits_per_key,replay_fraction,occupancy_injection_fraction,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_rejects
5,16.0,0.5,0.0,TRAPS learned,0.000538321231641338,0.000538321231641338,0
5,16.0,0.5,0.0,TRAPS+ReplayCache,0.000269160615820669,0.000538321231641338,0
5,16.0,0.5,0.0,Oracle AMQ,0.0003709854594969971,0.0003709854594969971,0
5,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
5,16.0,0.5,0.0,Adaptive tag,1.7909813458869208e-05,1.7909813458869208e-05,0
6,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
6,16.0,0.5,0.0,Risk partition,0.0004621005783290992,0.0004621005783290992,0
6,16.0,0.5,0.0,TRAPS learned,0.000490483206582344,0.000490483206582344,0
6,16.0,0.5,0.0,TRAPS+ReplayCache,0.000245241603291172,0.000490483206582344,0
6,16.0,0.5,0.0,Oracle AMQ,0.0003785263047100771,0.0003785263047100771,0
6,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
6,16.0,0.5,0.0,Adaptive tag,1.6318254265792214e-05,1.6318254265792214e-05,0
7,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
7,16.0,0.5,0.0,Risk partition,0.0004932059609935221,0.0004932059609935221,0
7,16.0,0.5,0.0,TRAPS learned,0.0006798004064101596,0.0006798004064101596,0
7,16.0,0.5,0.0,TRAPS+ReplayCache,0.0003399002032050798,0.0006798004064101596,0
7,16.0,0.5,0.0,Oracle AMQ,0.0003790180260949032,0.0003790180260949032,0
7,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
7,16.0,0.5,0.0,Adaptive tag,2.261679040774155e-05,2.261679040774155e-05,0
8,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
8,16.0,0.5,0.0,Risk partition,0.0004816056441834022,0.0004816056441834022,0
8,16.0,0.5,0.0,TRAPS learned,0.0005201146142847812,0.0005201146142847812,0
8,16.0,0.5,0.0,TRAPS+ReplayCache,0.0002600573071423906,0.0005201146142847812,0
8,16.0,0.5,0.0,Oracle AMQ,0.0003747248142145928,0.0003747248142145928,0
8,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
